104, 303
59, 261
379, 349
1, 172
248, 255
170, 138
98, 322
256, 358
51, 230
251, 77
193, 306
338, 87
98, 1
337, 15
268, 365
104, 229
85, 294
79, 312
214, 157
157, 175
170, 6
226, 8
66, 382
164, 195
308, 267
93, 326
58, 22
34, 314
261, 344
339, 37
352, 232
366, 36
307, 142
197, 67
369, 288
241, 239
342, 195
360, 380
324, 78
268, 175
296, 378
60, 148
122, 88
316, 36
323, 271
121, 386
9, 129
238, 44
293, 190
339, 174
14, 352
280, 143
224, 297
335, 96
333, 134
56, 120
51, 375
286, 10
372, 85
134, 105
97, 362
322, 85
238, 339
113, 357
165, 269
355, 15
352, 261
309, 134
353, 331
59, 97
90, 150
347, 164
137, 311
294, 142
352, 141
338, 110
148, 11
226, 354
201, 62
231, 61
331, 31
51, 121
88, 137
236, 134
140, 0
134, 226
338, 237
196, 262
30, 46
264, 82
279, 6
5, 134
126, 73
216, 77
359, 233
20, 214
213, 0
367, 167
385, 169
268, 291
